Ω  ﹎  だ计1  だ计2  だ计3  だ计4  羆だ    キА
   1     T     92     95     99     84   370   92.50
   2     D     95     90     99     84   368   92.00
   3     G     95     92     99     80   366   91.50
   4     O     94     95     93     83   365   91.25
   5     R     90     93     99     80   362   90.50
   6     Q     88     95     84     90   357   89.25
   7     H     93     83     99     80   355   88.75
   8     B     95     80     99     80   354   88.50
   9     E     93     93     80     85   351   87.75
  10     N     90     85     93     83   351   87.75
  11     J     82     85     99     84   350   87.50
  12     F     84     82     99     80   345   86.25
  13     M     90     65     95     92   342   85.50
  14     P     90     83     82     85   340   85.00
  15     K     84     90     80     85   339   84.75
  16     I     93     83     78     82   336   84.00
  17     C     83     93     78     82   336   84.00
  18     L     85     70     99     80   334   83.50
  19     S     88     84     78     82   332   83.00
  20     A     70     85     78     82   315   78.75

キА        88.70  86.05  90.50  83.15  
Аよ畉       5.94   7.88   9.06   3.18   
